################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.7023727129444346E+00 a       162     0     7     1    12
 -1.2067351132352568E+01 a       163     0     7     1    13
  1.0147231310951241E+00 a       164     0     7     1    14
  7.0144378682809645E+00 a       165     0     7     1    15
  1.8217000922847613E+00 a       166     0     7     1    16
 -9.5491069722315221E+00 a       167     0     7     1    17
  2.3582016928302842E+01 a       168     0     7     1    18
 -2.0049517991918190E+01 a       169     0     7     1    19
  4.3261434603437392E+00 a       170     0     7     1    20
 -1.0088911779541961E+01 a       171     0     7     1    21
 -9.6623547441852189E+00 a       172     0     7     1    22
 -1.4236373385291297E+00 a       173     0     7     1    23
 -1.3062067224101538E+01 a       174     0     7     1    24
  1.5188109757660593E+01 a       175     0     7     1    25
  1.3785249549764414E+01 a       176     0     8     1     1
  1.4143040873371626E+00 a       177     0     8     1     2
  1.5310021870465524E+00 a       178     0     8     1     3
  1.0739364728579261E+01 a       179     0     8     1     4
 -8.0426443108913066E+00 a       180     0     8     1     5
 -3.4997679004208018E+00 a       181     0     8     1     6
  2.6767300514376564E+00 a       182     0     8     1     7
 -2.1471489657716338E+00 a       183     0     8     1     8
  1.2172164176996318E+00 a       184     0     8     1     9
  9.6189134778616001E+00 a       185     0     8     1    10
 -1.7423644599688586E+01 a       186     0     8     1    11
 -1.2848327263098471E+00 a       187     0     8     1    12
  4.3644674897183761E-01 a       188     0     8     1    13
  1.4362133520273975E+01 a       189     0     8     1    14
 -3.7657216863836558E+00 a       190     0     8     1    15
  2.6429927438878273E+00 a       191     0     8     1    16
 -2.2474527060687137E+00 a       192     0     8     1    17
 -5.8062473334122950E+00 a       193     0     8     1    18
  7.5641665003061318E+00 a       194     0     8     1    19
  8.9144418214847720E-01 a       195     0     8     1    20
 -2.6089986044159681E+00 a       196     0     8     1    21
  5.1484645042823187E+00 a       197     0     8     1    22
  4.4550252018545065E+00 a       198     0     8     1    23
  1.8676062011294743E+00 a       199     0     8     1    24
  7.9362024642250173E+00 a       200     0     8     1    25
 -4.6391243711420236E+00 a       201     0     9     1     1
 -3.1683192006041505E+00 a       202     0     9     1     2
  8.3348391380478386E+00 a       203     0     9     1     3
 -8.5233529393566840E+00 a       204     0     9     1     4
 -1.4957509646766617E+01 a       205     0     9     1     5
 -8.7907331274579026E-01 a       206     0     9     1     6
 -1.9612747725963857E+01 a       207     0     9     1     7
  4.5250932871281596E-02 a       208     0     9     1     8
 -3.5308223181238736E+00 a       209     0     9     1     9
 -4.9479779433553377E+00 a       210     0     9     1    10
 -2.1692541067668714E+00 a       211     0     9     1    11
 -2.6558362379989520E+00 a       212     0     9     1    12
  7.3185120780413664E+00 a       213     0     9     1    13
  3.2415702537121738E+00 a       214     0     9     1    14
  2.9678852665845898E+00 a       215     0     9     1    15
  2.6231698162363895E+00 a       216     0     9     1    16
  5.7556650823290010E+00 a       217     0     9     1    17
 -1.3005899847004272E+01 a       218     0     9     1    18
  5.8386727220614043E+00 a       219     0     9     1    19
  1.0029292930271212E+00 a       220     0     9     1    20
  7.9601344638866181E+00 a       221     0     9     1    21
  7.9302043543358218E+00 a       222     0     9     1    22
  2.3661199580369470E+00 a       223     0     9     1    23
  9.4362385586318975E+00 a       224     0     9     1    24
 -8.8815711437523177E+00 a       225     0     9     1    25
 -3.9715137032406318E+00 a       226     0    10     1     1
 -3.0306299208288068E+00 a       227     0    10     1     2
 -3.1966991631807571E+00 a       228     0    10     1     3
 -6.6538093294222280E+00 a       229     0    10     1     4
 -1.8738697919956446E+00 a       230     0    10     1     5
  1.7436221087341686E+00 a       231     0    10     1     6
 -4.6831550303885381E+00 a       232     0    10     1     7
 -4.3120850423989845E+00 a       233     0    10     1     8
 -9.0674513849549534E+00 a       234     0    10     1     9
 -3.8595717436761889E+00 a       235     0    10     1    10
  4.0649404544872665E+00 a       236     0    10     1    11
 -8.2049775674400482E-01 a       237     0    10     1    12
  5.2416082853069126E+00 a       238     0    10     1    13
 -6.8294697096970971E+00 a       239     0    10     1    14
  4.3502492062870370E+00 a       240     0    10     1    15
 -1.7674539557183677E+00 a       241     0    10     1    16
 -1.4775460182241500E+00 a       242     0    10     1    17
 -2.3878835077876461E+00 a       243     0    10     1    18
  1.1523854422462898E+00 a       244     0    10     1    19
 -1.4300532626753517E+00 a       245     0    10     1    20
  1.1028405797576184E+00 a       246     0    10     1    21
 -2.3604529925058864E+00 a       247     0    10     1    22
  2.2402165491784718E+00 a       248     0    10     1    23
  5.8310664020489034E+00 a       249     0    10     1    24
 -2.6425349826938551E+00 a       250     0    10     1    25
 -1.9828053648474027E+00 a       251     0    11     1     1
 -1.9561104603156891E+00 a       252     0    11     1     2
 -3.2615858195602359E+00 a       253     0    11     1     3
  3.1260736124875885E+00 a       254     0    11     1     4
  4.0454469385290821E+00 a       255     0    11     1     5
 -1.4568727955337804E-01 a       256     0    11     1     6
  1.0889255665381665E+01 a       257     0    11     1     7
 -2.4459672279732847E+00 a       258     0    11     1     8
  2.3828523572003162E+00 a       259     0    11     1     9
 -1.9516587535821937E+00 a       260     0    11     1    10
 -3.3237492625512227E-01 a       261     0    11     1    11
  1.4684316222486218E-01 a       262     0    11     1    12
 -2.6033534614079348E+00 a       263     0    11     1    13
 -2.8897143895955475E+00 a       264     0    11     1    14
 -4.3788389309084579E+00 a       265     0    11     1    15
 -3.7138051396558569E+00 a       266     0    11     1    16
  1.3061388312704902E+00 a       267     0    11     1    17
 -1.8741486790687507E+00 a       268     0    11     1    18
  1.9433783305000101E+00 a       269     0    11     1    19
 -1.8115949478960909E+00 a       270     0    11     1    20
 -4.0236183154115448E+00 a       271     0    11     1    21
 -3.5325936551281827E+00 a       272     0    11     1    22
 -1.8729304902915922E+00 a       273     0    11     1    23
 -2.6358052439007205E+00 a       274     0    11     1    24
  3.8343443148193259E+00 a       275     0    11     1    25
 -6.2352304892924926E-01 a       276     0    12     1     1
  1.2053251847961630E+00 a       277     0    12     1     2
  3.5108619557370031E+00 a       278     0    12     1     3
  1.8384255263777112E+00 a       279     0    12     1     4
  2.2105624179596304E+00 a       280     0    12     1     5
 -1.3846441929719118E+00 a       281     0    12     1     6
  2.9393021267616115E+00 a       282     0    12     1     7
  5.1570110739807209E+00 a       283     0    12     1     8
  6.1856354827066982E+00 a       284     0    12     1     9
  2.8328751189592616E-01 a       285     0    12     1    10
  8.2970757251751692E-01 a       286     0    12     1    11
  1.6523937113387854E+00 a       287     0    12     1    12
 -3.5561370300096637E+00 a       288     0    12     1    13
  1.2017908600056193E+00 a       289     0    12     1    14
  1.7791544031145949E+00 a       290     0    12     1    15
  4.3175865221148918E-01 a       291     0    12     1    16
  2.9572103695771106E+00 a       292     0    12     1    17
  2.0660759441829271E-01 a       293     0    12     1    18
 -1.7480098791721472E+00 a       294     0    12     1    19
  2.4689979442550971E+00 a       295     0    12     1    20
  2.0362517036042127E+00 a       296     0    12     1    21
  2.0534356122893760E+00 a       297     0    12     1    22
 -3.4979196864876023E+00 a       298     0    12     1    23
 -3.6300100776552946E+00 a       299     0    12     1    24
 -4.4070810721223774E-01 a       300     0    12     1    25
  8.1654960704125870E+00 a       301     0    13     1     1
  3.1630161697210935E-01 a       302     0    13     1     2
  1.7448740656822244E+00 a       303     0    13     1     3
 -2.5517939753946020E+00 a       304     0    13     1     4
 -2.2953380576643534E+00 a       305     0    13     1     5
  1.7235931737729321E-01 a       306     0    13     1     6
 -5.0611366117013130E+00 a       307     0    13     1     7
  1.9101310991766167E+00 a       308     0    13     1     8
 -1.6120207974167997E+00 a       309     0    13     1     9
  5.6088237145820123E+00 a       310     0    13     1    10
 -5.0188769390407451E-01 a       311     0    13     1    11
  1.6009665300291528E-01 a       312     0    13     1    12
  1.2865782115391706E+00 a       313     0    13     1    13
  1.8095198235373025E+00 a       314     0    13     1    14
  3.7243801108914112E+00 a       315     0    13     1    15
  2.4885137239313035E+00 a       316     0    13     1    16
  5.6610320254086322E-01 a       317     0    13     1    17
 -5.2166088148847718E-02 a       318     0    13     1    18
 -1.6159324701950531E-01 a       319     0    13     1    19
  2.0894809136882070E-01 a       320     0    13     1    20
  2.8555666973569673E+00 a       321     0    13     1    21
  2.8017616874417799E+00 a       322     0    13     1    22
  2.8021791231582066E-01 a       323     0    13     1    23
 -3.9504035375319728E+00 a       324     0    13     1    24
 -5.1857272116591560E+00 a       325     0    13     1    25
 -1.7192693991844099E+00 a       326     0    14     1     1
 -7.3063257062198106E-01 a       327     0    14     1     2
 -2.0775680556706635E+00 a       328     0    14     1     3
 -2.1328639529225564E+00 a       329     0    14     1     4
 -9.5972514434555178E-01 a       330     0    14     1     5
  3.8495452318806245E+00 a       331     0    14     1     6
 -2.6939036538175309E+00 a       332     0    14     1     7
 -3.1502543129991025E+00 a       333     0    14     1     8
 -4.5237273875653843E+00 a       334     0    14     1     9
 -2.0574361838266007E+00 a       335     0    14     1    10
  6.6601658518448115E-01 a       336     0    14     1    11
 -6.7865730886953157E+00 a       337     0    14     1    12
  5.0996689426037687E+00 a       338     0    14     1    13
 -2.0003750710479355E+00 a       339     0    14     1    14
 -1.0335668586939624E+00 a       340     0    14     1    15
 -6.8604559407865667E-02 a       341     0    14     1    16
 -2.7672143295565075E+00 a       342     0    14     1    17
 -7.9279842898638841E-01 a       343     0    14     1    18
  5.2598436846721330E-01 a       344     0    14     1    19
 -1.5775146993172480E+00 a       345     0    14     1    20
 -2.6679361760538307E+00 a       346     0    14     1    21
 -1.8897811628674106E+00 a       347     0    14     1    22
  4.5942750865946058E+00 a       348     0    14     1    23
  3.6618219509685672E+00 a       349     0    14     1    24
  1.1714879785850361E-01 a       350     0    14     1    25
 -5.7444345910648908E-01 a       351     0    15     1     1
  1.2136114469510474E-01 a       352     0    15     1     2
 -2.2284223634144333E-02 a       353     0    15     1     3
  1.0220431938845163E+01 a       354     0    15     1     4
  2.3197017449260469E+00 a       355     0    15     1     5
  5.1369608143383472E-01 a       356     0    15     1     6
  3.1178929591687643E+00 a       357     0    15     1     7
 -1.4059363185365807E+00 a       358     0    15     1     8
 -1.7972130523910240E-01 a       359     0    15     1     9
 -1.7134343791196234E+00 a       360     0    15     1    10
 -2.1321363535556848E-01 a       361     0    15     1    11
  1.0665523517970352E-01 a       362     0    15     1    12
 -1.2419127130539914E-01 a       363     0    15     1    13
 -5.5359613391482210E-01 a       364     0    15     1    14
 -2.8265294603362432E+00 a       365     0    15     1    15
  4.8409567398464615E-01 a       366     0    15     1    16
  2.4823092683429309E+00 a       367     0    15     1    17
 -9.2338069287962521E-01 a       368     0    15     1    18
  1.8999114861246397E-01 a       369     0    15     1    19
 -2.1242652275799812E-01 a       370     0    15     1    20
 -3.5335825847171215E-01 a       371     0    15     1    21
  1.6951511475892453E+00 a       372     0    15     1    22
  2.9885492676435227E-01 a       373     0    15     1    23
  2.9342699272546744E+00 a       374     0    15     1    24
  8.6214805273949313E-01 a       375     0    15     1    25
  4.2196567028144022E-01 a       376     0    16     1     1
 -7.9156590439334407E-01 a       377     0    16     1     2
 -1.0354703836490364E+00 a       378     0    16     1     3
  7.3434996749179104E-01 a       379     0    16     1     4
  2.5279283436812905E-01 a       380     0    16     1     5
 -5.6118471731783492E-01 a       381     0    16     1     6
  9.9472945974330107E-01 a       382     0    16     1     7
  6.7524599617009473E-01 a       383     0    16     1     8
  3.4548280404785287E-01 a       384     0    16     1     9
  1.1473034627015790E+00 a       385     0    16     1    10
  4.8200613191642244E-01 a       386     0    16     1    11
  1.9880425054312663E+00 a       387     0    16     1    12
 -9.8010821996916753E-01 a       388     0    16     1    13
  1.1058844944123887E+00 a       389     0    16     1    14
  2.0245823032541894E+00 a       390     0    16     1    15
 -9.3162036453370412E-01 a       391     0    16     1    16
 -3.0006475586123726E-01 a       392     0    16     1    17
  1.4434981698860931E+00 a       393     0    16     1    18
 -9.1089394563103110E-01 a       394     0    16     1    19
  2.0252971957627404E+00 a       395     0    16     1    20
  1.5819202146112583E+00 a       396     0    16     1    21
 -2.7927154552024375E-01 a       397     0    16     1    22
 -1.9602073567272360E+00 a       398     0    16     1    23
 -1.3195665057469508E-01 a       399     0    16     1    24
 -9.3566689854140517E-01 a       400     0    16     1    25
  3.7028730556864486E+00 a       401     0    17     1     1
 -1.7780025335136997E+00 a       402     0    17     1     2
  4.0421911422912569E+00 a       403     0    17     1     3
 -2.7688510730977511E+00 a       404     0    17     1     4
  1.1691075242888056E+00 a       405     0    17     1     5
  3.1865044130636986E+00 a       406     0    17     1     6
 -1.8393581673045074E+00 a       407     0    17     1     7
 -5.3348539286003405E+00 a       408     0    17     1     8
 -1.0418593971056614E+01 a       409     0    17     1     9
  8.4407534495107051E+00 a       410     0    17     1    10
 -6.3004172892364778E+00 a       411     0    17     1    11
 -5.5039993121550312E-01 a       412     0    17     1    12
  3.1279132876543958E+00 a       413     0    17     1    13
  2.3154782856872940E+00 a       414     0    17     1    14
  5.0356003379123282E-01 a       415     0    17     1    15
  2.3554201943069439E+00 a       416     0    17     1    16
 -6.3818791093230454E+00 a       417     0    17     1    17
  1.5700704250150839E+01 a       418     0    17     1    18
  8.3284737242110540E-01 a       419     0    17     1    19
  8.5087399186592017E-01 a       420     0    17     1    20
  1.2942866006151943E+00 a       421     0    17     1    21
  2.1712972320822610E+00 a       422     0    17     1    22
  2.8217428559040520E+00 a       423     0    17     1    23
  8.1422429205853550E+00 a       424     0    17     1    24
 -2.9419496417569477E+00 a       425     0    17     1    25
 -3.6170031873723407E+00 a       426     0    18     1     1
  2.2924262932706960E+00 a       427     0    18     1     2
 -6.1603806056991450E+00 a       428     0    18     1     3
  3.4460885382192306E+00 a       429     0    18     1     4
  1.1299379455224683E+01 a       430     0    18     1     5
  5.2612217479874457E-01 a       431     0    18     1     6
  1.6603039100784741E+01 a       432     0    18     1     7
  8.8017413931620758E-01 a       433     0    18     1     8
  6.4319187922543932E+00 a       434     0    18     1     9
 -4.2528926317221432E+00 a       435     0    18     1    10
  3.1909981833543148E+00 a       436     0    18     1    11
  3.3870690556497890E-01 a       437     0    18     1    12
 -5.6996615068989405E+00 a       438     0    18     1    13
 -2.7557697107020713E+00 a       439     0    18     1    14
 -8.5071563225954829E+00 a       440     0    18     1    15
 -5.3710987503230854E+00 a       441     0    18     1    16
 -1.3079871423556262E+00 a       442     0    18     1    17
 -2.8258317295687738E+00 a       443     0    18     1    18
  3.2151056193476282E+00 a       444     0    18     1    19
 -3.7583131131564338E+00 a       445     0    18     1    20
 -4.2007208268905272E+00 a       446     0    18     1    21
 -2.3326252979700386E+00 a       447     0    18     1    22
 -6.8352768489701186E+00 a       448     0    18     1    23
 -7.2923426544072667E+00 a       449     0    18     1    24
  3.2857107808077504E+00 a       450     0    18     1    25
  1.1263854050786897E+00 a       451     0    19     1     1
  1.0911955676332076E-01 a       452     0    19     1     2
 -1.4308984234348363E+00 a       453     0    19     1     3
 -3.2677519758716778E-01 a       454     0    19     1     4
  3.2442507634183793E-01 a       455     0    19     1     5
  8.2350139705947256E-01 a       456     0    19     1     6
  3.0389471744873531E-01 a       457     0    19     1     7
 -5.2403900830542915E-01 a       458     0    19     1     8
  3.4166458999431076E-02 a       459     0    19     1     9
  1.1019974194033528E+00 a       460     0    19     1    10
  9.4302670915036535E-01 a       461     0    19     1    11
  7.0784925134295340E-01 a       462     0    19     1    12
 -9.3390422140283957E-01 a       463     0    19     1    13
 -4.8986466241149118E-01 a       464     0    19     1    14
 -8.0377685994737280E-01 a       465     0    19     1    15
  8.6484280238966649E-02 a       466     0    19     1    16
  6.6901779156240160E-01 a       467     0    19     1    17
  9.0067806239989079E-01 a       468     0    19     1    18
 -1.1550861476620436E-01 a       469     0    19     1    19
 -7.5233080102419281E-01 a       470     0    19     1    20
 -8.7466526839416220E-02 a       471     0    19     1    21
  1.5699179509613139E+00 a       472     0    19     1    22
 -1.2273480429111199E+00 a       473     0    19     1    23
 -1.0299178815976502E+00 a       474     0    19     1    24
  3.4132600640140803E-01 a       475     0    19     1    25
 -6.1472479802362634E-01 a       476     0    20     1     1
  1.3583466805999554E-02 a       477     0    20     1     2
 -7.0176763220761640E-01 a       478     0    20     1     3
  2.4805538687641565E-01 a       479     0    20     1     4
  1.7808140307402018E-01 a       480     0    20     1     5
  1.2224102642967258E-01 a       481     0    20     1     6
  1.2701251494277650E-02 a       482     0    20     1     7
  1.9278774056199849E-01 a       483     0    20     1     8
 -2.9584298746333376E-01 a       484     0    20     1     9
  1.1932817735248227E-01 a       485     0    20     1    10
  8.5480281634693817E-02 a       486     0    20     1    11
 -1.6237793126229316E-02 a       487     0    20     1    12
 -1.7293106457933002E-01 a       488     0    20     1    13
 -1.6572567753990206E-01 a       489     0    20     1    14
 -8.3281831226571645E-01 a       490     0    20     1    15
 -9.9867245890514784E-03 a       491     0    20     1    16
 -3.6950063931243765E-01 a       492     0    20     1    17
  1.6256175328171483E+00 a       493     0    20     1    18
  3.1391380985509770E-01 a       494     0    20     1    19
  6.4190004943628393E-02 a       495     0    20     1    20
 -1.8017479184086185E-01 a       496     0    20     1    21
 -1.6686427349642476E+00 a       497     0    20     1    22
 -2.8969292123703611E-01 a       498     0    20     1    23
 -6.5008730344102006E-01 a       499     0    20     1    24
  6.4587155578081989E-01 a       500     0    20     1    25
 -1.5253080592335987E+01 a       501     0    21     1     1
  2.1392687713712788E+00 a       502     0    21     1     2
 -5.9837626965064370E+00 a       503     0    21     1     3
  4.9365478538270464E+00 a       504     0    21     1     4
 -1.7081975684420934E+00 a       505     0    21     1     5
 -5.7013470571038587E+00 a       506     0    21     1     6
  2.9819073688279535E-01 a       507     0    21     1     7
  8.8975894801001516E+00 a       508     0    21     1     8
  1.5047820508447431E+01 a       509     0    21     1     9
 -1.6819558075166629E+01 a       510     0    21     1    10
  6.8969066027303070E+00 a       511     0    21     1    11
  9.4401213030548256E-02 a       512     0    21     1    12
 -6.1730959179114624E+00 a       513     0    21     1    13
 -2.0323583692872340E+00 a       514     0    21     1    14
 -2.1250230295532635E-01 a       515     0    21     1    15
 -3.1175382165629921E+00 a       516     0    21     1    16
  7.9942062243456329E+00 a       517     0    21     1    17
 -1.9013218575044913E+01 a       518     0    21     1    18
 -2.1412205986080992E+00 a       519     0    21     1    19
 -1.8924016076975925E+00 a       520     0    21     1    20
 -3.1893105350102560E+00 a       521     0    21     1    21
 -3.2643812812738977E+00 a       522     0    21     1    22
 -3.3232252516616874E+00 a       523     0    21     1    23
 -1.7391619392909544E+01 a       524     0    21     1    24
  5.6122707839722299E+00 a       525     0    21     1    25
  1.1061435218216609E+01 a       526     0    22     1     1
 -8.9031396361400350E-01 a       527     0    22     1     2
  2.0498287857094692E+00 a       528     0    22     1     3
 -5.3514002424435905E+00 a       529     0    22     1     4
 -2.5949544802689097E+01 a       530     0    22     1     5
