################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  8.3926393025458601E-01 a         1     0     1     1     1
 -1.3626552253013834E+01 a         2     0     1     1     2
 -3.5288772356251958E+00 a         3     0     1     1     3
  2.0580748024123068E+00 a         4     0     1     1     4
 -5.1716831404380148E+00 a         5     0     1     1     5
 -1.3641259997236204E+00 a         6     0     1     1     6
  4.0158630486636033E+00 a         7     0     1     1     7
 -2.1360467834066079E+00 a         8     0     1     1     8
 -1.6859008008479803E+00 a         9     0     1     1     9
 -1.8675457849617219E+00 a        10     0     1     1    10
 -5.6629925267050893E+00 a        11     0     1     1    11
 -3.0404679766267546E+00 a        12     0     1     1    12
  9.5981941479074795E+00 a        13     0     1     1    13
 -1.4295742257595521E+00 a        14     0     1     1    14
  3.9446884976132324E-01 a        15     0     1     1    15
 -2.6274437243474131E+00 a        16     0     1     1    16
 -1.8190892369717535E+00 a        17     0     1     1    17
 -1.0301496944818320E+01 a        18     0     1     1    18
  2.4794796766446385E+01 a        19     0     1     1    19
 -1.1811961622356377E+00 a        20     0     1     1    20
  3.6804519520101149E+00 a        21     0     1     1    21
 -9.2645481957509412E-01 a        22     0     1     1    22
  6.3615529816547873E+00 a        23     0     1     1    23
 -2.5206915400481082E+00 a        24     0     1     1    24
 -9.5639843553522379E+00 a        25     0     1     1    25
 -8.7258117159440296E+00 a        26     0     2     1     1
  1.3502960179772584E+01 a        27     0     2     1     2
 -2.5580788444711451E+00 a        28     0     2     1     3
 -3.1238265159814765E-01 a        29     0     2     1     4
  8.5213032847062546E+00 a        30     0     2     1     5
  2.8673526122266296E-01 a        31     0     2     1     6
  2.8208441347404056E+00 a        32     0     2     1     7
  1.8635764703632229E-01 a        33     0     2     1     8
  4.5144289157869073E+00 a        34     0     2     1     9
 -6.2310879956296084E-01 a        35     0     2     1    10
  8.1843144523591018E+00 a        36     0     2     1    11
  2.6758003461148552E+00 a        37     0     2     1    12
 -9.3720217290032615E+00 a        38     0     2     1    13
 -3.8236941440856898E+00 a        39     0     2     1    14
 -6.3705047663926528E+00 a        40     0     2     1    15
  1.4794341738436874E+00 a        41     0     2     1    16
  1.3557310364903072E+00 a        42     0     2     1    17
  1.1535003678460217E+01 a        43     0     2     1    18
 -2.5862860736996481E+01 a        44     0     2     1    19
 -4.1350513415552193E-01 a        45     0     2     1    20
 -2.4313382079944792E+00 a        46     0     2     1    21
 -6.5705390616077137E+00 a        47     0     2     1    22
 -3.5976871045728527E+00 a        48     0     2     1    23
 -9.7930840094161571E+00 a        49     0     2     1    24
 -9.8974999799552830E+00 a        50     0     2     1    25
  1.9338016677042908E+00 a        51     0     3     1     1
  1.9689712880789077E+01 a        52     0     3     1     2
  7.4366518001934265E+00 a        53     0     3     1     3
 -5.6848995595009439E+00 a        54     0     3     1     4
  9.9266078308977530E+00 a        55     0     3     1     5
  5.7265250454846572E-01 a        56     0     3     1     6
 -1.0571209740503907E+01 a        57     0     3     1     7
  7.2594865999894544E+00 a        58     0     3     1     8
  3.5383723627372832E+00 a        59     0     3     1     9
  4.8801539974639319E+00 a        60     0     3     1    10
  1.2755515482439788E+01 a        61     0     3     1    11
  5.8277992615524399E+00 a        62     0     3     1    12
 -1.5186448473605612E+01 a        63     0     3     1    13
  2.2676357729302081E+00 a        64     0     3     1    14
  2.7525263568727700E+00 a        65     0     3     1    15
  4.7853781229032135E+00 a        66     0     3     1    16
  1.6764941844759371E+00 a        67     0     3     1    17
  2.5730839804360887E+01 a        68     0     3     1    18
 -3.8279256561846353E+01 a        69     0     3     1    19
  5.3901021174970776E+00 a        70     0     3     1    20
 -7.9892086401301068E+00 a        71     0     3     1    21
  2.6517605023060895E+00 a        72     0     3     1    22
 -1.0783420597602028E+01 a        73     0     3     1    23
  8.0088458293528113E+00 a        74     0     3     1    24
  2.1110000943238621E+01 a        75     0     3     1    25
  1.8482190028722016E+01 a        76     0     4     1     1
 -1.6796473007833676E+01 a        77     0     4     1     2
  7.2726214729288507E+00 a        78     0     4     1     3
  2.5112915676270942E+00 a        79     0     4     1     4
 -1.9038123839929057E+01 a        80     0     4     1     5
 -6.8729534806929715E-01 a        81     0     4     1     6
 -8.7487726540701587E+00 a        82     0     4     1     7
 -2.5541390524910859E+00 a        83     0     4     1     8
 -9.8232559239722903E+00 a        84     0     4     1     9
  4.6223534109400157E+00 a        85     0     4     1    10
 -1.8597448093231083E+01 a        86     0     4     1    11
 -4.3941286794706915E+00 a        87     0     4     1    12
  1.5503437067121505E+01 a        88     0     4     1    13
  1.2033290386629657E+01 a        89     0     4     1    14
  1.2439334092405574E+01 a        90     0     4     1    15
 -1.8719877233169688E-01 a        91     0     4     1    16
 -2.0557124025684690E+00 a        92     0     4     1    17
 -2.8201599482755089E+01 a        93     0     4     1    18
  3.6539173875638852E+01 a        94     0     4     1    19
  1.0205624913949041E-01 a        95     0     4     1    20
  4.3895479041677863E+00 a        96     0     4     1    21
  1.6895800082675741E+01 a        97     0     4     1    22
  8.2035983873537859E+00 a        98     0     4     1    23
  1.3886788299886273E+01 a        99     0     4     1    24
  2.0389307693767709E+01 a       100     0     4     1    25
 -8.3935816140101274E+00 a       101     0     5     1     1
 -1.8913314210851439E+01 a       102     0     5     1     2
 -1.4559114349594016E+00 a       103     0     5     1     3
  2.0557592911916416E+00 a       104     0     5     1     4
 -1.3809542511832246E+01 a       105     0     5     1     5
  6.7286201312763050E-01 a       106     0     5     1     6
  9.7995856842323654E+00 a       107     0     5     1     7
 -4.9238445530718336E+00 a       108     0     5     1     8
 -1.7194370806658255E+00 a       109     0     5     1     9
 -7.0307846669739638E+00 a       110     0     5     1    10
 -1.3421918123683113E+01 a       111     0     5     1    11
 -6.6885511781204592E+00 a       112     0     5     1    12
  1.2881054011852600E+01 a       113     0     5     1    13
 -3.3850200290779715E+00 a       114     0     5     1    14
 -1.0178334127913921E+01 a       115     0     5     1    15
 -3.8654742166371090E+00 a       116     0     5     1    16
  6.4768629304942698E+00 a       117     0     5     1    17
 -3.1585863205816672E+01 a       118     0     5     1    18
  3.2976190342774210E+01 a       119     0     5     1    19
 -9.2300480252657682E+00 a       120     0     5     1    20
  8.2043296728797497E+00 a       121     0     5     1    21
 -2.4282596247862878E+00 a       122     0     5     1    22
  5.1847530984392334E+00 a       123     0     5     1    23
 -2.0821332446168843E+00 a       124     0     5     1    24
 -1.9240609930824398E+01 a       125     0     5     1    25
 -1.8987450390669853E+01 a       126     0     6     1     1
  5.2220546546246069E+00 a       127     0     6     1     2
 -3.5608487379374725E+00 a       128     0     6     1     3
 -6.5066916776887380E+00 a       129     0     6     1     4
  1.7015548446959183E+01 a       130     0     6     1     5
  2.3234089571323553E+00 a       131     0     6     1     6
  6.0565594867953383E+00 a       132     0     6     1     7
  6.8466349491882701E+00 a       133     0     6     1     8
  8.2149311506756586E+00 a       134     0     6     1     9
 -9.8514113168835902E+00 a       135     0     6     1    10
  2.1405176325148805E+01 a       136     0     6     1    11
  2.8605620309894100E+00 a       137     0     6     1    12
 -9.3274010577435575E+00 a       138     0     6     1    13
 -1.5152214191575746E+01 a       139     0     6     1    14
 -4.5605253010305011E+00 a       140     0     6     1    15
 -2.0440422053192657E+00 a       141     0     6     1    16
  2.7714247483238759E+00 a       142     0     6     1    17
  2.2321089019302139E+01 a       143     0     6     1    18
 -2.1606584581875065E+01 a       144     0     6     1    19
  6.7127928806088299E-01 a       145     0     6     1    20
 -6.7889968139093360E-01 a       146     0     6     1    21
 -1.4127135190229582E+01 a       147     0     6     1    22
 -9.7331018502087652E+00 a       148     0     6     1    23
 -7.8849535533841424E+00 a       149     0     6     1    24
 -1.5498663480009546E+01 a       150     0     6     1    25
  1.3956849062305693E+01 a       151     0     7     1     1
  1.6598349774005978E+01 a       152     0     7     1     2
 -1.1599764349186620E+01 a       153     0     7     1     3
  7.2166292380916870E+00 a       154     0     7     1     4
  2.0069489140903649E+01 a       155     0     7     1     5
  1.5227925123433819E-01 a       156     0     7     1     6
  7.6902889174569253E+00 a       157     0     7     1     7
 -5.0015060069531381E-01 a       158     0     7     1     8
  5.2807026724376254E+00 a       159     0     7     1     9
  1.0362638943151858E+01 a       160     0     7     1    10
  8.3412818507822362E+00 a       161     0     7     1    11
