################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.2607150577739500E-02 a       117     0     5     1    17
 -3.7841687711972904E-01 a       118     0     5     1    18
 -3.6102044649760259E+01 a       119     0     5     1    19
  3.9947392412408949E+00 a       120     0     5     1    20
  2.5240004418763057E+01 a       121     0     5     1    21
 -6.2286955132268380E+00 a       122     0     5     1    22
 -5.1561778906460756E+00 a       123     0     5     1    23
 -1.7787371933948592E+01 a       124     0     5     1    24
  2.6553193291211002E+01 a       125     0     5     1    25
 -5.5798065233122863E+01 a       126     0     6     1     1
  5.6022731376132180E+00 a       127     0     6     1     2
 -2.5822888305510457E+01 a       128     0     6     1     3
 -2.3718908682675568E+01 a       129     0     6     1     4
  6.8295379540733370E-01 a       130     0     6     1     5
  2.5750257425683376E+01 a       131     0     6     1     6
  3.6942962688041092E+01 a       132     0     6     1     7
 -1.6399237155720055E+01 a       133     0     6     1     8
  7.9754999134302684E+00 a       134     0     6     1     9
 -1.3934352770088895E+01 a       135     0     6     1    10
 -9.2414634715508566E+00 a       136     0     6     1    11
  2.4767524734348957E+01 a       137     0     6     1    12
  7.3780841365873884E-01 a       138     0     6     1    13
  1.0085561506061213E+01 a       139     0     6     1    14
  9.1918868159450078E+00 a       140     0     6     1    15
 -1.5410715916637107E+01 a       141     0     6     1    16
  2.4607626787790434E+01 a       142     0     6     1    17
 -1.2156762055661645E+00 a       143     0     6     1    18
 -4.3972822798055873E+01 a       144     0     6     1    19
  2.8769132833058420E+00 a       145     0     6     1    20
  2.4457852782175635E+00 a       146     0     6     1    21
  8.0549637652489050E+00 a       147     0     6     1    22
 -2.3876267133192428E+00 a       148     0     6     1    23
  8.3775958752867048E+00 a       149     0     6     1    24
  8.3296340867028440E-01 a       150     0     6     1    25
  6.0198403948422534E+00 a       151     0     7     1     1
 -6.4150897650347387E+00 a       152     0     7     1     2
 -6.1616376672935189E+00 a       153     0     7     1     3
 -1.9817663567894930E+00 a       154     0     7     1     4
  7.0215784259278315E+00 a       155     0     7     1     5
  1.3551004632690399E+01 a       156     0     7     1     6
  1.9438516844734138E-01 a       157     0     7     1     7
 -3.6770403144550698E+01 a       158     0     7     1     8
  2.7693040170467686E+01 a       159     0     7     1     9
  2.8432476470367600E+00 a       160     0     7     1    10
 -2.5799512387328928E+01 a       161     0     7     1    11
  1.5449065187020837E+01 a       162     0     7     1    12
 -1.6091757690190722E+01 a       163     0     7     1    13
  2.1623637188038862E+00 a       164     0     7     1    14
 -1.5490371335262465E+01 a       165     0     7     1    15
 -1.5351907847159717E+01 a       166     0     7     1    16
  1.0773520238323091E+00 a       167     0     7     1    17
 -4.4067322704638334E+00 a       168     0     7     1    18
  7.9481466290589680E+00 a       169     0     7     1    19
 -9.1091781384225303E+00 a       170     0     7     1    20
 -8.3403754181594039E+00 a       171     0     7     1    21
  4.5528169365038282E+00 a       172     0     7     1    22
  5.1092012997049405E+00 a       173     0     7     1    23
  5.2006829070355582E+00 a       174     0     7     1    24
 -2.4926073433180978E+01 a       175     0     7     1    25
  2.3213174585740557E+01 a       176     0     8     1     1
 -3.6206121387708485E+00 a       177     0     8     1     2
  8.7834420924328072E+00 a       178     0     8     1     3
  1.1505629543680962E+01 a       179     0     8     1     4
  2.4944720423934892E+00 a       180     0     8     1     5
 -5.9249714200329651E-01 a       181     0     8     1     6
 -1.3914011445469603E+01 a       182     0     8     1     7
  1.2612338196550477E+01 a       183     0     8     1     8
 -4.0270767487928971E+00 a       184     0     8     1     9
  5.8714787155629695E+00 a       185     0     8     1    10
  3.1763507048293396E+00 a       186     0     8     1    11
 -1.4406579002170938E+01 a       187     0     8     1    12
  2.9618913112225504E+00 a       188     0     8     1    13
 -3.1176384305889084E+00 a       189     0     8     1    14
 -4.5161235191197449E+00 a       190     0     8     1    15
  6.1711097961050116E+00 a       191     0     8     1    16
 -1.2066655621164227E+01 a       192     0     8     1    17
  7.1759749810539541E-01 a       193     0     8     1    18
  1.8235881491454194E+01 a       194     0     8     1    19
 -1.8428688656091761E+00 a       195     0     8     1    20
 -1.1790761069366058E+00 a       196     0     8     1    21
 -6.9540179812905931E+00 a       197     0     8     1    22
 -1.5128661810547301E+00 a       198     0     8     1    23
 -1.1053401247239842E+01 a       199     0     8     1    24
 -3.0698618460760194E+00 a       200     0     8     1    25
 -1.1926142867272771E+01 a       201     0     9     1     1
  8.1614984084555520E+00 a       202     0     9     1     2
  8.7574578896719302E-01 a       203     0     9     1     3
 -1.9199557999445462E+00 a       204     0     9     1     4
